0,1,2,3,4,5,6
2021-08-30T13:40:00+0530,244.4,244.4,223.65,226.2,600,23500
2021-08-30T13:45:00+0530,226.2,236.85,216.45,236.85,1300,23625
2021-08-30T13:50:00+0530,236.85,241.2,234.3,241.2,1575,23450
2021-08-30T13:55:00+0530,241.2,253.8,240.85,241.9,1000,23275
2021-08-30T14:00:00+0530,241.9,248.3,241,247.45,1450,22850
2021-08-30T14:05:00+0530,247.45,282.6,247.45,281.65,3500,23700
2021-08-30T14:10:00+0530,282,303.65,276.4,303.65,17275,25350
2021-08-30T14:15:00+0530,303.65,323.75,297.25,319.15,31850,29975
2021-08-30T14:20:00+0530,319.15,338.65,311.1,336.7,2825,28700
2021-08-30T14:25:00+0530,336.7,338,315.35,326.4,4200,29225
2021-08-30T14:30:00+0530,326.4,326.4,311.7,323.95,925,28625
2021-08-30T14:35:00+0530,323.95,345,310.65,345,2150,28550
2021-08-30T14:40:00+0530,345,360,342.2,354.8,5150,28100
2021-08-30T14:45:00+0530,354.8,356.25,330,333.95,3550,27025
2021-08-30T14:50:00+0530,333.95,335,316.75,325.9,1650,26950
2021-08-30T14:55:00+0530,325.9,334,319.35,333.1,700,26375
2021-08-30T15:00:00+0530,333.1,335.95,302.1,306.65,3325,26600
2021-08-30T15:05:00+0530,306.65,323.15,306.65,316,1875,27425
2021-08-30T15:10:00+0530,316,328.65,309.45,327.9,3850,27575
2021-08-30T15:15:00+0530,327.9,353.1,327.9,347.25,5100,28500
2021-08-30T15:20:00+0530,347.05,359.7,341.95,354.2,7150,27225
2021-08-30T15:25:00+0530,354.2,375.9,351.75,366.05,7075,25250
2021-08-31T09:15:00+0530,350.05,365.95,309.55,320,6450,25650
2021-08-31T09:20:00+0530,320,410.55,300,409,10750,26900
2021-08-31T09:25:00+0530,409,423.75,382.55,400,8125,27575
2021-08-31T09:30:00+0530,398.35,400,296,326,8175,27250
2021-08-31T09:35:00+0530,326,346.25,307.35,310.85,3375,27125
2021-08-31T09:40:00+0530,310.85,331.95,308.35,308.35,4125,27625
2021-08-31T09:45:00+0530,308.35,326.8,308.3,315,1575,27975
2021-08-31T09:50:00+0530,315,348.2,313.35,337,2725,28350
2021-08-31T09:55:00+0530,337,341.35,325.15,325.15,1900,28850
2021-08-31T10:00:00+0530,325.15,325.15,309,309,800,29275
2021-08-31T10:05:00+0530,309,334.95,303.75,333.8,1550,29275
2021-08-31T10:10:00+0530,333.8,335.2,323.05,324.5,1225,29850
2021-08-31T10:15:00+0530,324.5,336.25,320.6,320.6,1625,30100
2021-08-31T10:20:00+0530,320.6,324.4,317.35,320.35,650,30200
2021-08-31T10:25:00+0530,320.35,325.3,319.5,320,200,30325
2021-08-31T10:30:00+0530,320,392.1,320,375.9,6450,30450
2021-08-31T10:35:00+0530,375.9,386,364.6,380.1,3350,30950
2021-08-31T10:40:00+0530,383.5,392.65,375.5,381,3175,29900
2021-08-31T10:45:00+0530,381,399,370.2,387.25,3500,30200
2021-08-31T10:50:00+0530,387.25,392,379.55,381,3575,31500
2021-08-31T10:55:00+0530,381,381,360,362.8,2000,32100
2021-08-31T11:00:00+0530,362.8,379.85,341.35,372.85,3675,31825
2021-08-31T11:05:00+0530,372.85,383.75,370.8,372.65,1550,32900
2021-08-31T11:10:00+0530,372.65,373,356.55,357,1650,32625
2021-08-31T11:15:00+0530,357,365.25,350,361,850,33250
2021-08-31T11:20:00+0530,361,362.65,354.5,355,825,33525
2021-08-31T11:25:00+0530,355,358.65,338.35,356,2325,34450
2021-08-31T11:30:00+0530,356,370.05,349.7,365.05,3250,33750
2021-08-31T11:35:00+0530,365.05,372.65,364.9,368.75,1825,33150
2021-08-31T11:40:00+0530,368.75,374.15,363.05,368.25,1875,33725
