Date,Open,High,Low,Close,5
1631262600,1.6097,1.616,1.5709,1.571,1095841
1631262900,1.58,1.5899,1.56,1.5645,880256
1631263200,1.562,1.5645,1.55,1.5509,578004
1631263500,1.5515,1.59,1.5501,1.5899,478787
1631263800,1.58,1.6299,1.58,1.6299,1202582
1631264100,1.6201,1.6299,1.6,1.6079,590969
1631264400,1.6065,1.637,1.5905,1.6202,1479390
1631264700,1.627,1.6299,1.5703,1.5715,856048
1631265000,1.5705,1.5999,1.561,1.561,447767
1631265300,1.561,1.5868,1.561,1.5628,355500
1631265600,1.5689,1.5699,1.5628,1.5688,648337
1631265900,1.568,1.5697,1.568,1.568,230190
1631266200,1.565,1.5869,1.565,1.5869,194875
1631266500,1.5869,1.6126,1.5869,1.612,685324
1631266800,1.612,1.6123,1.59,1.5906,245996
1631267100,1.58,1.6099,1.5717,1.6001,445581
1631267400,1.6095,1.649,1.6001,1.6394,2443109
1631267700,1.63,1.6391,1.6007,1.6111,804005
1631268000,1.6298,1.6298,1.6012,1.6175,224696
1631268300,1.6169,1.645,1.6026,1.6395,1833298
1631268600,1.64,1.7187,1.64,1.69,4721721
1631268900,1.6899,1.7099,1.63,1.63,2335939
1631269200,1.6584,1.6782,1.6302,1.668,637518
1631269500,1.668,1.7083,1.65,1.7083,1735147
1631269800,1.7083,1.7198,1.6798,1.6798,2054242
1631270100,1.68,1.6895,1.65,1.6501,1539833
1631270400,1.66,1.661,1.6531,1.6554,522341
1631270700,1.66,1.665,1.6492,1.65,515762
1631271000,1.65,1.65,1.6371,1.638,498559
1631271300,1.638,1.65,1.638,1.64,152447
1631271600,1.6371,1.6555,1.63,1.648,377787
1631271900,1.6389,1.648,1.63,1.63,151210
1631272200,1.6301,1.6713,1.6262,1.67,527681
1631272500,1.6699,1.6749,1.6328,1.6328,358062
1631272800,1.6328,1.65,1.617,1.6288,1972301
1631273100,1.6288,1.629,1.6206,1.6233,458206
1631273400,1.6233,1.6233,1.6051,1.6232,691717
1631273700,1.6232,1.6329,1.6114,1.6114,877671
1631274000,1.6114,1.6251,1.6111,1.6251,348098
1631274300,1.6251,1.6251,1.61,1.61,305203
1631274600,1.6001,1.601,1.565,1.57,969827
1631274900,1.57,1.5997,1.5651,1.59,465878
1631275200,1.5984,1.6124,1.5803,1.6124,240267
1631275500,1.6,1.6184,1.5811,1.5901,623920
1631275800,1.5983,1.5983,1.585,1.59,180354
