Date,Open,High,Low,Close,Adj Close,Volume
9/14/2020,205.899994,206.199997,197.350006,198.5,198.5,63605531
9/15/2020,199.899994,201,197.100006,200.149994,200.149994,51761038
9/16/2020,199.850006,200.050003,196.25,198.199997,198.199997,52404964
9/17/2020,197,198,195,195.449997,195.449997,41223296
9/18/2020,196,197.199997,189.699997,192.600006,192.600006,55286316
9/21/2020,193.050003,193.5,184.25,185.800003,185.800003,57611375
9/22/2020,186.149994,188.300003,181.149994,186.199997,186.199997,51210889
9/23/2020,188.149994,188.949997,181,183.800003,183.800003,44320497
9/24/2020,181.100006,181.800003,175.5,176.350006,176.350006,46114798
9/25/2020,179,182.75,176.149994,182.199997,182.199997,46550127
9/28/2020,184,188.149994,183.350006,187.25,187.25,41921548
9/29/2020,188.5,188.949997,183.25,185.050003,185.050003,35688726
9/30/2020,185.050003,186.800003,182.399994,185.399994,185.399994,37641083
10/1/2020,187,191.199997,186.899994,190.300003,190.300003,43588724
10/5/2020,192,193.800003,187.050003,188.75,188.75,41694686
10/6/2020,191.100006,192.100006,188.300003,191.600006,191.600006,31098726
10/7/2020,192.550003,193.149994,189.100006,190.699997,190.699997,34578053
10/8/2020,191.350006,195.800003,190.550003,191.5,191.5,43351606
10/9/2020,192,198.800003,190.550003,198.300003,198.300003,64907230
10/12/2020,199.699997,205.949997,197.25,198.699997,198.699997,69122798
10/13/2020,198.649994,200,195.100006,195.699997,195.699997,34948525
10/14/2020,194.050003,200.899994,193.050003,200.050003,200.050003,40548275
10/15/2020,201,202.5,192,192.850006,192.850006,49184123
10/16/2020,194,196.75,191.600006,195.949997,195.949997,36893126
10/19/2020,196.199997,204.600006,196.050003,204,204,60220779
10/20/2020,201,204.350006,200.699997,203.050003,203.050003,39316753
10/21/2020,204.699997,207.300003,198.850006,203.75,203.75,54515523
10/22/2020,201.899994,204.600006,201.100006,203.300003,203.300003,33721637
10/23/2020,204,205.600006,201.550003,202.800003,202.800003,32707020
10/26/2020,202.699997,204,195.600006,196.699997,196.699997,45470123
10/27/2020,197.25,197.550003,192.25,194.649994,194.649994,37794381
10/28/2020,195,195,189.050003,190.449997,190.449997,46458319
10/29/2020,189.350006,190.699997,185.899994,188.699997,188.699997,44822673
10/30/2020,189.350006,192,186.149994,189.25,189.25,41519686
11/2/2020,192.199997,197.25,190.050003,196.050003,196.050003,52600119
11/3/2020,198,205.800003,197.600006,204.75,204.75,69890201
11/4/2020,203.5,209,198.050003,207,207,117577856
11/5/2020,216,221,214.75,218.649994,218.649994,138023646
11/6/2020,219,221.850006,217.050003,219.199997,219.199997,73147085
11/9/2020,222.5,222.649994,217.050003,219.5,219.5,60359458
11/10/2020,223.100006,235,223,231.699997,231.699997,135294550
11/11/2020,232.75,239.350006,227.75,234.199997,234.199997,107094861
11/12/2020,233.199997,233.350006,225.649994,226.800003,226.800003,58859905
11/13/2020,225,230.649994,220.100006,229.449997,229.449997,70676525
11/17/2020,231.850006,241.600006,231,240.199997,240.199997,80501583
11/18/2020,239.399994,253,237.899994,252,252,104514060
11/19/2020,248,251.800003,239,239.75,239.75,82284278
11/20/2020,241.5,245.399994,233.949997,242.75,242.75,84411129
11/23/2020,243.5,246.149994,238.100006,238.699997,238.699997,57538324
11/24/2020,240.5,245,239.5,243.850006,243.850006,47636611
11/25/2020,245.449997,249.899994,241.600006,243,243,74767232
11/26/2020,244,246.25,240.149994,245.449997,245.449997,64248318
11/27/2020,245.449997,246.25,242.050003,244.25,244.25,54355703
12/1/2020,245,248.949997,244.25,248.050003,248.050003,37003272
12/2/2020,248.350006,250.850006,244.100006,246.949997,246.949997,56723083
12/3/2020,249.300003,259,248,256.299988,256.299988,79266442
12/4/2020,257,264.350006,253.550003,263.5,263.5,79252024
12/7/2020,263.799988,271.450012,263,269.600006,269.600006,76053084
12/8/2020,270.950012,273.700012,265.25,271.899994,271.899994,65617502
12/9/2020,272.100006,274.899994,269.200012,270.350006,270.350006,48495641
12/10/2020,269,271,265.549988,269.549988,269.549988,38676657
12/11/2020,270.049988,276.25,270.049988,272.450012,272.450012,50255223
12/14/2020,274,276.149994,272.350006,274.200012,274.200012,31946501
12/15/2020,274.049988,274.049988,268.149994,270.649994,270.649994,34890948
12/16/2020,272.799988,273.649994,268.5,269.399994,269.399994,24844177
12/17/2020,270,272.149994,266.700012,267.700012,267.700012,25904699
12/18/2020,267.700012,271.950012,265,271.450012,271.450012,29816205
12/21/2020,268.450012,269,251.050003,254.699997,254.699997,55160758
12/22/2020,254.800003,258.700012,248.25,257.450012,257.450012,51189571
12/23/2020,256.950012,263.899994,255.600006,263,263,29056404
12/24/2020,265,268.850006,264.649994,266.850006,266.850006,28585509
12/28/2020,268.75,276,268,275.200012,275.200012,36870242
12/29/2020,276.299988,279.899994,274.700012,277.899994,277.899994,45032526
12/30/2020,278,278.700012,272.5,276.899994,276.899994,30971894
12/31/2020,275,277.25,272.600006,274.950012,274.950012,29467966
1/1/2021,274.899994,280,274.399994,279.399994,279.399994,24531791
1/4/2021,281.850006,283.899994,277.75,281.049988,281.049988,31450608
1/5/2021,278.049988,282.450012,277,281.75,281.75,27393072
1/6/2021,283,289.149994,281.399994,285.049988,285.049988,40765708
1/7/2021,289,291.799988,287,287.700012,287.700012,30546600
1/8/2021,290.100006,291.399994,285.200012,286,286,32543357
1/11/2021,288,288.200012,279.600006,282.5,282.5,29703173
1/12/2021,280,293.850006,277.899994,292.5,292.5,44307145
1/13/2021,296,308,294.5,306.799988,306.799988,78042133
1/14/2021,306.700012,309.25,303.799988,307.25,307.25,40123498
1/15/2021,306.799988,310.899994,301.299988,303.850006,303.850006,35307601
1/18/2021,303.5,308.649994,292.200012,294.450012,294.450012,54969750
1/19/2021,297.649994,302.5,296.399994,298.600006,298.600006,35803901
1/20/2021,298.799988,304.700012,296.850006,302.549988,302.549988,33759304
1/21/2021,304,305.149994,291.5,294.850006,294.850006,29995203
1/22/2021,295.5,298,282.399994,283.700012,283.700012,44440810
1/25/2021,284.5,288,277.049988,280.950012,280.950012,34034630
1/27/2021,280.200012,284.850006,272.700012,275.649994,275.649994,39211107
1/28/2021,271.899994,283.350006,269.5,282.350006,282.350006,48717297
1/29/2021,285.600006,290.649994,279.100006,282.100006,282.100006,42300984
2/1/2021,285.100006,313.899994,282.75,310.700012,310.700012,103414068
2/2/2021,315,337.399994,315,333.100006,333.100006,121434166
2/3/2021,333.75,339.899994,325.799988,335.950012,335.950012,66420168
2/4/2021,334.399994,358,331.100006,355.100006,355.100006,145203439
2/5/2021,387,408.350006,385.149994,393.100006,393.100006,214955688
2/8/2021,398,407.799988,394.75,397.049988,397.049988,79389205
2/9/2021,396.75,403.5,389,394.799988,394.799988,63869990
2/10/2021,394.049988,397.899994,388,392.25,392.25,54163507
2/11/2021,391.799988,396.950012,388.25,390.149994,390.149994,36392708
2/12/2021,391,399.350006,385.549988,393.149994,393.149994,53589755
2/15/2021,397.5,409.450012,395.700012,406.950012,406.950012,56608937
2/16/2021,412,415.75,400.299988,402.350006,402.350006,80365431
2/17/2021,403,414.850006,400.149994,411.75,411.75,74161370
2/18/2021,425.049988,427.700012,413.700012,415.200012,415.200012,67154539
2/19/2021,415,415,395,399.549988,399.549988,66155518
2/22/2021,400.600006,401,385.649994,389.5,389.5,52535049
2/23/2021,392,399.700012,389,395.600006,395.600006,45462768
2/24/2021,397,410.5,395.200012,406.25,406.25,39632090
2/25/2021,411,414.899994,406.549988,407.25,407.25,46988836
2/26/2021,399.5,401,387,390.149994,390.149994,64450414
3/1/2021,395.100006,397.700012,391,394.950012,394.950012,29677890
3/2/2021,395,399.549988,390.549988,394.200012,394.200012,30534337
3/3/2021,396.5,408.899994,396,405.049988,405.049988,46268223
