Date,Open,High,Low,Close,Adj Close,Volume
12/7/2016,497.286224,499.069336,493.497131,494.884003,483.764923,2275593
12/8/2016,497.806305,506.102661,497.459595,505.23587,493.884247,4038380
12/9/2016,506.201721,511.080475,505.35968,509.644073,498.19339,3802370
12/12/2016,505.458771,515.959229,505.458771,508.777313,497.3461,4164504
12/13/2016,509.173553,515.612488,508.950653,515.018127,503.446686,4783826
12/14/2016,515.018127,527.227417,514.225647,524.775635,512.984924,11140265
12/15/2016,521.258972,528.787598,519.401611,521.531433,509.81366,8921708
12/16/2016,521.060852,526.013916,521.060852,523.611694,511.847198,6895825
12/19/2016,522.546753,528.465698,522.224854,526.286316,514.46167,6926943
12/20/2016,522.398193,525.518616,521.630493,523.983154,512.210266,5394088
12/21/2016,525.072815,528.639038,523.636475,526.633057,514.800659,9399779
12/22/2016,524.032715,526.335876,520.540771,521.729553,510.007355,13334038
12/23/2016,521.060852,529.456299,521.060852,523.685974,511.9198,4737311
12/26/2016,522.224854,527.995117,517.420349,518.807251,507.150665,7070994
12/27/2016,519.005371,528.539978,518.584351,527.351257,515.502686,8049872
12/28/2016,528.936218,529.753479,518.63385,519.921692,508.240112,4447617
12/29/2016,520.070251,529.381958,519.822571,527.722717,515.865784,4048426
12/30/2016,527.400757,537.405945,526.558777,536.118164,524.072632,7251073
1/2/2017,536.910645,539.882446,531.14032,537.455444,525.379883,3275674
1/3/2017,539.808167,543.349609,535.474243,539.585266,527.461792,2969384
1/4/2017,541.318848,541.368347,527.153137,528.564758,516.688965,4796129
1/5/2017,530.47168,534.879883,529.357239,533.641602,521.651794,4030815
1/6/2017,532.056641,537.405945,531.51178,532.428101,520.465515,3620853
1/9/2017,533.443481,537.901245,530.47168,533.790222,521.796997,2413173
1/10/2017,534.929382,542.061768,534.929382,539.808167,527.679749,5237984
1/11/2017,542.359009,542.705688,536.910645,537.926025,525.839905,5296152
1/12/2017,538.396545,540.055786,534.830322,536.563904,524.508362,2017673
1/13/2017,537.183044,543.597229,537.183044,540.080566,527.946045,3338688
1/16/2017,539.857666,541.838928,531.9328,533.072021,521.09491,5544068
1/17/2017,527.499817,528.985718,514.374268,515.736328,504.148712,18106600
1/18/2017,516.404968,519.079651,509.545013,511.427185,499.936401,7322904
1/19/2017,512.714966,517.74231,510.659454,511.996796,500.493256,7053690
1/20/2017,512.120605,513.854187,507.142792,508.083862,496.668213,4054233
1/23/2017,506.102661,510.659454,501.644897,503.180359,491.874908,6326471
1/24/2017,503.725189,509.569794,503.725189,508.826843,497.394501,4347000
1/25/2017,511.154755,511.501465,503.304169,503.873779,492.552704,11009842
