time,open,high,low,close,5,6,result
2021-09-27T10:15:00+0530,3844.9,3847.6,3803.75,3826.3,332078,0,
2021-09-27T11:15:00+0530,3826.3,3845,3823,3843.1,185324,0,
2021-09-27T12:15:00+0530,3843.15,3850,3835.25,3843.4,131093,0,
2021-09-27T13:15:00+0530,3843.4,3843.4,3825.1,3833.1,195502,0,
2021-09-27T14:15:00+0530,3833.2,3848,3828,3840.45,279343,0,
2021-09-27T15:15:00+0530,3840.8,3840.8,3835,3839,107331,0,
2021-09-28T09:15:00+0530,3850,3850,3789,3810.2,430960,0,
2021-09-28T10:15:00+0530,3810.25,3810.3,3788,3788.35,242490,0,
2021-09-28T11:15:00+0530,3788.35,3804.5,3765,3770.7,451282,0,
2021-09-28T12:15:00+0530,3771.4,3788.05,3758.6,3763,355472,0,
2021-09-28T13:15:00+0530,3762.9,3772.75,3756.35,3760.9,246695,0,
2021-09-28T14:15:00+0530,3761.05,3788.3,3751.9,3781.5,363794,0,
2021-09-28T15:15:00+0530,3781.05,3781.5,3770,3777.05,153259,0,
2021-09-29T09:15:00+0530,3759.8,3792.7,3727.55,3743,783064,0,
2021-09-29T10:15:00+0530,3743,3762,3722.25,3754.7,358188,0,
2021-09-29T11:15:00+0530,3754.25,3784.6,3746.55,3770.35,229029,0,
2021-09-29T12:15:00+0530,3770.55,3772.65,3755.1,3772.65,181630,0,
2021-09-29T13:15:00+0530,3771.95,3783.9,3767,3781.75,194039,0,
2021-09-29T14:15:00+0530,3781.75,3805.9,3779.85,3789.6,502335,0,
2021-09-29T15:15:00+0530,3789.85,3796.3,3783.75,3790.8,227374,0,
2021-09-30T09:15:00+0530,3805,3805,3765.2,3778.15,329275,0,
2021-09-30T10:15:00+0530,3778.15,3790,3774,3778.15,193067,0,
2021-09-30T11:15:00+0530,3778.15,3780.2,3768.1,3771,161174,0,
2021-09-30T12:15:00+0530,3770.1,3770.95,3756,3757,311476,0,
2021-09-30T13:15:00+0530,3756.5,3776.8,3750.15,3761.7,255293,0,
2021-09-30T14:15:00+0530,3761.75,3780.75,3752.8,3776.35,655661,0,
2021-09-30T15:15:00+0530,3776.35,3783.2,3765.8,3778.7,325151,0,
2021-10-01T09:15:00+0530,3781.75,3809.95,3743.05,3762.35,405280,0,
2021-10-01T10:15:00+0530,3762.95,3763.3,3748.15,3752.85,262548,0,
2021-10-01T11:15:00+0530,3752.85,3753.95,3735,3739.6,159363,0,
2021-10-01T12:15:00+0530,3739.95,3748,3736.5,3737.45,180451,0,
2021-10-01T13:15:00+0530,3737,3741,3726.4,3730.95,176310,0,
2021-10-01T14:15:00+0530,3730.95,3738.85,3725,3729.55,260728,0,
2021-10-01T15:15:00+0530,3729.6,3730,3725,3728.65,119641,0,
2021-10-04T09:15:00+0530,3724.8,3772.85,3708.05,3765.8,325203,0,
